NAME,Date,P/E RATIO,P/B RATIO,EPS,DIV YEILD(%),,,,,,,,,
Adani Ports and Special Economic Zone Ltd.,04/03/24,40,5.94,33.47,0.37,,,,,,,,,
Asian Paints Ltd.,04/03/24,50.27,16.5,56.69,0.9,,,,,,,,,
Axis Bank Ltd.,04/03/24,25.2,2.28,43.51,0.09,,,,,,,,,
Bajaj Auto Ltd.,04/03/24,30.77,7.76,261.37,1.74,,,,,,,,,
Bajaj Finance Ltd.,04/03/24,29.53,5.93,223.04,0.45,,,,,,,,,
Bajaj Finserv Ltd.,04/03/24,32.93,5.05,48.88,0.05,,,,,,,,,
Bharat Petroleum Corporation Ltd. (BPCL),04/03/24,4.68,1.91,133.41,0.63,,,,,,,,,
Bharti Airtel Ltd.,04/03/24,76.03,8.08,14.87,0.34,,,,,,,,,
Britannia Industries Ltd.,04/03/24,54.88,41.62,89.68,1.46,,,,,,,,,
Cipla Ltd.,04/03/24,32.29,4.82,45.93,0.57,,,,,,,,,
Coal India Ltd.,04/03/24,9.41,3.97,47.66,5.41,,,,,,,,,
Divi's Laboratories Ltd.,04/03/24,67.29,7.34,52.1,0.86,,,,,,,,,
Dr. Reddy's Laboratories Ltd.,04/03/24,19.91,4.08,313.42,0.64,,,,,,,,,
Eicher Motors Ltd.,04/03/24,26.78,6.45,140.1,0.99,,,,,,,,,
Grasim Industries Ltd.,04/03/24,26.16,1.77,85.4,0.44,,,,,,,,,
HCL Technologies Ltd.,04/03/24,28.29,6.76,57.85,2.93,,,,,,,,,
HDFC Bank Ltd.,04/03/24,18.41,2.48,77.71,0.98,,,,,,,,,
HDFC Life Insurance Company Ltd.,04/03/24,86.08,9.26,7.09,0.31,,,,,,,,,
Hero MotoCorp Ltd.,04/03/24,25.49,5.21,180.82,2.17,,,,,,,,,
Hindalco Industries Ltd.,04/03/24,12.57,1.19,41.79,0.56,,,,,,,,,
Hindustan Unilever Ltd. (HUL),04/03/24,55.13,11.3,43.92,1.61,,,,,,,,,
ICICI Bank Ltd.,04/03/24,17.92,3.18,60.46,0.73,,,,,,,,,
IndusInd Bank Ltd.,04/03/24,13.74,2.05,111.43,0.91,,,,,,,,,
Infosys Ltd.,04/03/24,28.16,9.81,58.77,2.05,,,,,,,,,
ITC Ltd.,04/03/24,24.88,7.39,16.44,3.77,,,,,,,,,
JSW Steel Ltd.,04/03/24,18.01,2.72,45.71,0.51,,,,,,,,,
Kotak Mahindra Bank Ltd.,04/03/24,19.68,2.86,87.74,0.09,,,,,,,,,
Larsen & Toubro Ltd. (L&T),04/03/24,39.6,6.39,92.02,0.67,,,,,,,,,
Mahindra & Mahindra Ltd.,04/03/24,21.42,3.94,89.67,0.82,,,,,,,,,
Maruti Suzuki India Ltd.,04/03/24,29.91,4.64,397.61,0.75,,,,,,,,,
Nestle India Ltd.,04/03/24,83.22,80.68,31.1,0.85,,,,,,,,,
NTPC Ltd.,04/03/24,17.59,2.23,20.11,2.05,,,,,,,,,
Oil & Natural Gas Corporation Ltd. (ONGC),04/03/24,8.15,1.1,33.34,4.14,,,,,,,,,
Power Grid Corporation of India Ltd.,04/03/24,17.41,3.15,16.91,3.76,,,,,,,,,
Reliance Industries Ltd. (RIL),04/03/24,28.82,2.68,103.42,0.3,,,,,,,,,
Shree Cement Ltd.,04/03/24,41.29,4.76,622.66,0.39,,,,,,,,,
State Bank of India (SBI),04/03/24,10.81,1.82,71.48,1.46,,,,,,,,,
Sun Pharmaceutical Industries Ltd.,04/03/24,41.82,6.23,37.12,0.74,,,,,,,,,
Tata Consultancy Services Ltd. (TCS),04/03/24,33.12,14.77,124,2.83,,,,,,,,,
Tata Consumer Products Ltd.,04/03/24,95.28,7.1,12.62,0.69,,,,,,,,,
Tata Motors Ltd.,04/03/24,16.91,6.13,58.38,0.21,,,,,,,,,
Tata Steel Ltd.,04/03/24,0,2.16,-2.38,2.3,,,,,,,,,
Tech Mahindra Ltd.,04/03/24,44.42,4.72,28.82,3.9,,,,,,,,,
Titan Company Ltd.,04/03/24,96.01,26.7,38.87,0.27,,,,,,,,,
UltraTech Cement Ltd.,04/03/24,44.94,5.13,222.14,0.38,,,,,,,,,
United Breweries Ltd.,04/03/24,133.88,11.28,12.81,0.44,,,,,,,,,
Wipro Ltd.,04/03/24,24.09,3.91,21.6,0.2,,,,,,,,,
Zee Entertainment Enterprises Ltd.,04/03/24,0,1.38,-0.71,2.58,,,,,,,,,